Symbol,Name,Year,EPS,BPS
A000270,기아차,2001,1400,9207
A000270,기아차,2002,1735,11098
A000270,기아차,2003,2110,12846
A000270,기아차,2004,1875,14315
A000270,기아차,2005,1961,15139
A000270,기아차,2006,113,15124
A000270,기아차,2007,39,14625
A000270,기아차,2008,328,16543
A000270,기아차,2009,3945,18999
A000270,기아차,2010,3617,28054
A000270,기아차,2011,8556,33501
A000270,기아차,2012,9537,41623
A000270,기아차,2013,9416,50027
A000270,기아차,2014,7385,55685
A000270,기아차,2015,6489,60290
A000270,기아차,2016,6795,66103
A000270,기아차,2017,,
A086790,하나금융지주,2001,,
A086790,하나금융지주,2002,,
A086790,하나금융지주,2003,,
A086790,하나금융지주,2004,,
A086790,하나금융지주,2005,1078,30941
A086790,하나금융지주,2006,4948,36815
A086790,하나금융지주,2007,6127,44010
A086790,하나금융지주,2008,2282,42654
A086790,하나금융지주,2009,1446,45535
A086790,하나금융지주,2010,9093,53922
A086790,하나금융지주,2011,5123,58265
A086790,하나금융지주,2012,6672,65026
A086790,하나금융지주,2013,3361,69343
A086790,하나금융지주,2014,3235,72879
A086790,하나금융지주,2015,3093,74829
A086790,하나금융지주,2016,4495,75971
A086790,하나금융지주,2017,,
A011170,롯데케미칼,2001,233,26288
A011170,롯데케미칼,2002,1869,28091
A011170,롯데케미칼,2003,6612,34339
A011170,롯데케미칼,2004,16800,50550
A011170,롯데케미칼,2005,16052,65606
A011170,롯데케미칼,2006,11977,76572
A011170,롯데케미칼,2007,14544,90290
A011170,롯데케미칼,2008,-1421,88004
A011170,롯데케미칼,2009,25006,116924
A011170,롯데케미칼,2010,21559,138233
A011170,롯데케미칼,2011,30701,171456
A011170,롯데케미칼,2012,9862,176320
A011170,롯데케미칼,2013,8400,182525
A011170,롯데케미칼,2014,4285,187805
A011170,롯데케미칼,2015,28957,219538
A011170,롯데케미칼,2016,53561,273173
A011170,롯데케미칼,2017,,
A000810,삼성화재,2001,5248,42011
A000810,삼성화재,2002,5058,41409
A000810,삼성화재,2003,3232,55218
A000810,삼성화재,2004,5333,57163
A000810,삼성화재,2005,5023,59143
A000810,삼성화재,2006,6540,63294
A000810,삼성화재,2007,9375,69494
A000810,삼성화재,2008,11840,78315
A000810,삼성화재,2009,10373,99590
A000810,삼성화재,2010,13376,132825
A000810,삼성화재,2011,15719,154577
A000810,삼성화재,2012,15553,185093
A000810,삼성화재,2013,10124,170920
A000810,삼성화재,2014,16530,207503
A000810,삼성화재,2015,16043,225804
A000810,삼성화재,2016,16967,246689
A000810,삼성화재,2017,,
A002790,아모레G,2001,11478,56359
